"Date","ReferenceNo.","Type","Description","Debit","Credit","CheckNumber","Balance"
"2/19/2024","","DEBIT","Withdrawal  @ SPOTIFY 0 SPOTIFY 877-778-1161 NY US","-10.99","","","54.1"
"2/19/2024","","DEBIT","Withdrawal  @ G1 Online Transfer 'DTS' 50.00 to share 0","-50","","","4.1"
"2/19/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 50.00 from share 0","","50","","54.1"
"2/19/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 44.00 from share 0","","44","","98.1"
"2/19/2024","","DEBIT","Withdrawal  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","-11.99","","","86.11"
"2/19/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 22.00 from LV 1","","22","","108.11"
"2/19/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-26.55","","","81.56"
"2/20/2024","","CREDIT","Checking Deposit  @ Prime Video Channel 0 Prime Video Chan amzn.com/billWA US","","11.99","","93.55"
"2/20/2024","","DEBIT","Withdrawal  @ Coyni 877 371 6122 0 Coyni 877 371 61 Miami FL US","-67.75","","","25.8"
"2/21/2024","","DEBIT","Withdrawal  @ STARBUCKS STORE 058 0 STARBUCKS STORE SACRAMENTO CA US","-11.2","","","14.6"
"2/22/2024","","DEBIT","Withdrawal  @ LINDA'S TAQUERIA ME 0 LINDA'S TAQUERIA SACRAMENTO CA US","-20.53","","","-5.93"
"2/22/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","194.07"
"2/23/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-17.5","","","176.57"
"2/23/2024","","DEBIT","Withdrawal  @ NETFLIX COM 0 NETFLIX COM LOS GATOS CA US","-15.49","","","161.08"
"2/23/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-16.68","","","144.4"
"2/23/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-25.99","","","118.41"
"2/24/2024","","DEBIT","Withdrawal  @ SQ *PUSHKIN'S BAKER 0 SQ *PUSHKIN'S BA Sacramento CA US","-16.56","","","101.85"
"2/24/2024","","DEBIT","Withdrawal  @ FLOWCHART FUN PRO 0 FLOWCHART FUN PR HTTPSFLOWCHARNC US","-3","","","98.85"
"2/24/2024","","DEBIT","Withdrawal  @ EB JORDNMOODY AMP C 0 EB JORDNMOODY AM 8014137200 CA US","-21.25","","","77.6"
"2/25/2024","","DEBIT","Withdrawal  @ LOVE LAUNDRY 0 LOVE LAUNDRY SACRAMENTO CA US","-7","","","70.6"
"2/25/2024","","DEBIT","Withdrawal  @ SQ *ON THE Y 0 SQ *ON THE Y Sacramento CA US","-30.68","","","39.92"
"2/25/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","239.92"
"2/25/2024","","DEBIT","Withdrawal  @ SQ *ON THE Y 0 SQ *ON THE Y Sacramento CA US","-8.85","","","231.07"
"2/25/2024","","DEBIT","Withdrawal  @ SQ *ON THE Y 0 SQ *ON THE Y Sacramento CA US","-8.55","","","222.52"
"2/25/2024","","DEBIT","Withdrawal  @ SQ *ON THE Y 0 SQ *ON THE Y Sacramento CA US","-8.55","","","213.97"
"2/25/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*RZ9VO6 0 AMZN Mktp US*RZ9 Amzn.com/billWA US","-31.84","","","182.13"
"2/25/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*RZ7VA6 0 AMZN Mktp US*RZ7 Amzn.com/billWA US","-16.63","","","165.5"
"2/25/2024","","DEBIT","Withdrawal  @ CORTI BROTHERS 0 CORTI BROTHERS SACRAMENTO CA US","-31.8","","","133.7"
"2/26/2024","","DEBIT","Withdrawal  @ DD *DOORDASH MINGDY 0 DD *DOORDASH MIN WWW.DOORDASH.CA US","-40.17","","","93.53"
"2/26/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-12.99","","","80.54"
"2/26/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-71.32","","","9.22"
"2/27/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-27.18","","","-17.96"
"2/27/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","182.04"
"2/28/2024","","DEBIT","Withdrawal  @ Prime Video *RW15W4 0 Prime Video *RW1 888-802-3080 WA US","-3.99","","","178.05"
"2/28/2024","","DEBIT","Withdrawal-ACH-A-990166 WEBHomeRiver Group (WEB PMTS)","-755","","","-576.95"
"2/28/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","800","","223.05"
"2/28/2024","","DEBIT","Withdrawal  @ Coyni 877 371 6122 0 Coyni 877 371 61 Miami FL US","-51.79","","","171.26"
"2/28/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-22.2","","","149.06"
"2/28/2024","","DEBIT","Withdrawal  @ SQ *BABES ICE CREAM 0 SQ *BABES ICE CR Sacramento CA US","-6.26","","","142.8"
"2/29/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","135.09"
"2/29/2024","","DEBIT","Withdrawal-ACH-A-1096016 ATT (Payment)","-79.99","","","55.1"
"2/29/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-5.25","","","49.85"
"2/29/2024","","DEBIT","Withdrawal  @ META - PPGF 0 META - PPGF 4029357733 DC US","-5","","","44.85"
"3/1/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","37.14"
"3/1/2024","","DEBIT","Withdrawal  @ EMBRACE PET INSURAN 0 EMBRACE PET INSU HELLO@EMBRACEOH US","-17.89","","","19.25"
"3/1/2024","","DEBIT","Withdrawal  @ SOUNDCLOUD INC 0 SOUNDCLOUD INC 176-3257837 NY US","-16","","","3.25"
"3/1/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","178.44","","181.69"
"3/1/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-2.99","","","178.7"
"3/1/2024","","DEBIT","Withdrawal  @ GOOGLE*GSUITE BARKB 0 GOOGLE*GSUITE BA CC GOOGLE.COMCA US","-14.4","","","164.3"
"3/1/2024","","DEBIT","Withdrawal  @ VENMO* Marc 0 VENMO* Marc Visa Direct NY US","-140","","","24.3"
"3/2/2024","","DEBIT","Withdrawal  @ DOLLARTREE 0 DOLLARTREE SACRAMENTO CA US","-1.35","","","22.95"
"3/4/2024","","DEBIT","Withdrawal  @ I LOVE TERIYAKI 0 I LOVE TERIYAKI SACRAMENTO CA US","-14","","","8.95"
"3/5/2024","","DEBIT","Withdrawal-ACH-A-861479 GEICO (PREM COLL)","-52.24","","","-43.29"
"3/5/2024","","DEBIT","Withdrawal COURTESY PAY FEE 20.00","-20","","","-63.29"
"3/5/2024","","CREDIT","A Courtesy Payment was made for the amount of 43.29.","","0","","0.0"
"3/7/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 200.00 from share 0","","200","","136.71"
"3/7/2024","","DEBIT","Withdrawal  @ ATMP619467 411 N. 16TH STREET CSSI0 CAPITOL -619 SACRAMENTO CA US","-102","","","34.71"
"3/7/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-156","","","-121.29"
"3/7/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","78.71"
"3/7/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-12.28","","","66.43"
"3/7/2024","","DEBIT","Withdrawal ATM:Fee: ATM FEE DRAFT WITHDRAWAL Trace #9596","-2","","","64.43"
"3/7/2024","","CREDIT","ATM FEE DRAFT WITHDRAWAL Trace #9596 1 @ $2.00","","0","","0.0"
"3/8/2024","","DEBIT","Withdrawal  @ SAIGON CORNER 0 SAIGON CORNER SACRAMENTO CA US","-15.57","","","48.86"
"3/8/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","248.86"
"3/9/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","243.87"
"3/10/2024","","DEBIT","Withdrawal  @ ZZOUNDS.COM 0 ZZOUNDS.COM 800-493-3945 NJ US","-49.75","","","194.12"
"3/10/2024","","DEBIT","Withdrawal  @ PETCO 1343 0 PETCO 1343 SACRAMENTO CA US","-21.48","","","172.64"
"3/10/2024","","DEBIT","Withdrawal  @ 03943--5039 Folsom 0 CVS/PHARMACY #03 Sacramento CA US","-12.42","","","160.22"
"3/10/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-56.03","","","104.19"
"3/11/2024","","DEBIT","Withdrawal  @ ORBIT WASH 0 ORBIT WASH SACRAMENTO CA US","-11.5","","","92.69"
"3/12/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","87.7"
"3/12/2024","","DEBIT","Withdrawal  @ APPLE CASH SENT MON 0 APPLE CASH SENT 1INFINITELOOPCA US","-30","","","57.7"
"3/12/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-67.73","","","-10.03"
"3/12/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","189.97"
"3/12/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-3.49","","","186.48"
"3/12/2024","","DEBIT","Withdrawal  @ CHEVRON 0095632 0 CHEVRON 0095632 SACRAMENTO CA US","-62.24","","","124.24"
"3/14/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","119.25"
"3/14/2024","","DEBIT","Withdrawal  @ DALEK ONE* SUBSCR 1 0 DALEK ONE* SUBSC HTTPSDALEKONEMN US","-7","","","112.25"
"3/15/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","107.26"
"3/16/2024","","DEBIT","Withdrawal  @ SPLICE.COM* SPLICE 0 SPLICE.COM* SPLI SPLICE.COM NY US","-9.99","","","97.27"
"3/16/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-69.43","","","27.84"
"3/16/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","227.84"
"3/17/2024","","DEBIT","Withdrawal  @ EB BLACK CARL-MOVE 0 EB BLACK CARL-MO 8014137200 CA US","-28.52","","","199.32"
"3/17/2024","","DEBIT","Withdrawal  @ SQ *FOREST FLOOR FA 0 SQ *FOREST FLOOR Sacramento CA US","-10","","","189.32"
"3/18/2024","","DEBIT","Withdrawal  @ CENTURY THEATRES 44 0 CENTURY THEATRES SACRAMENTO CA US","-14.25","","","175.07"
"3/18/2024","","DEBIT","Withdrawal  @ CENTURY THEATRES 44 0 CENTURY THEATRES SACRAMENTO CA US","-8.4","","","166.67"
"3/18/2024","","DEBIT","Withdrawal  @ CNK*CINEMARK.COM 44 0 CNK*CINEMARK.COM 800-246-3627 CA US","-34.28","","","132.39"
"3/18/2024","","DEBIT","Withdrawal  @ 1707 J ST 0 TARGET STORE T-3 Sacramento CA US","-21.1","","","111.29"
"3/18/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-58","","","53.29"
"3/19/2024","","DEBIT","Withdrawal  @ BURGERS AND BREW MI 0 BURGERS AND BREW SACRAMENTO CA US","-46.09","","","7.2"
"3/19/2024","","DEBIT","Withdrawal  @ CITYOFSAC IPS PKGME 0 CITYOFSAC IPS PK SACRAMENTO CA US","-1.75","","","5.45"
"3/19/2024","","DEBIT","Withdrawal  @ SPOTIFY 0 SPOTIFY 877-778-1161 NY US","-10.99","","","-5.54"
"3/19/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","194.46"
"3/20/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","189.47"
"3/20/2024","","DEBIT","Withdrawal  @ REGALA866-651-8724 0 REGALA866-651-87 RANCHO SANTA CA US","-14.42","","","175.05"
"3/21/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-4.99","","","170.06"
"3/21/2024","","DEBIT","Withdrawal  @ TST* PIZZASAURUS RE 0 TST* PIZZASAURUS Sacramento CA US","-4.87","","","165.19"
"3/21/2024","","DEBIT","Withdrawal  @ TST* PIZZASAURUS RE 0 TST* PIZZASAURUS Sacramento CA US","-3.87","","","161.32"
"3/22/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-28.92","","","132.4"
"3/22/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-50.59","","","81.81"
"3/23/2024","","DEBIT","Withdrawal  @ APPLE CASH SENT MON 0 APPLE CASH SENT 1INFINITELOOPCA US","-6","","","75.81"
"3/23/2024","","DEBIT","Withdrawal  @ NETFLIX COM 0 NETFLIX COM LOS GATOS CA US","-15.49","","","60.32"
"3/23/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-56.73","","","3.59"
"3/24/2024","","DEBIT","Withdrawal  @ CASH APP*MOON MAGIC 0 CASH APP*MOON MA 800-9691940 CA US","-25","","","-21.41"
"3/24/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","178.59"
"3/24/2024","","DEBIT","Withdrawal  @ AUTOZONE 5593 1900 0 AUTOZONE 5593 1 SACRAMENTO CA US","-342.88","","","-164.29"
"3/24/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","400","","235.71"
"3/24/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-59.89","","","175.82"
"3/24/2024","","DEBIT","Withdrawal  @ PETCO 1343 0 PETCO 1343 SACRAMENTO CA US","-28.26","","","147.56"
"3/24/2024","","DEBIT","Withdrawal  @ AUTOZONE 5597 5501 0 AUTOZONE 5597 5 SACRAMENTO CA US","-27.72","","","119.84"
"3/24/2024","","DEBIT","Withdrawal  @ SQ *THE ALLSPICERY 0 SQ *THE ALLSPICE Sacramento CA US","-39.55","","","80.29"
"3/24/2024","","DEBIT","Withdrawal  @ SQ *CHOCOLATE FISH 0 SQ *CHOCOLATE FI Sacramento CA US","-12.85","","","67.44"
"3/24/2024","","DEBIT","Withdrawal  @ FLOWCHART FUN PRO 0 FLOWCHART FUN PR HTTPSFLOWCHARNC US","-3","","","64.44"
"3/25/2024","","DEBIT","Withdrawal  @ ORBIT WASH 0 ORBIT WASH SACRAMENTO CA US","-2","","","62.44"
"3/25/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-11.79","","","50.65"
"3/25/2024","","DEBIT","Withdrawal  @ WALGREENS STORE 140 0 WALGREENS STORE SACRAMENTO CA US","-5.97","","","44.68"
"3/25/2024","","DEBIT","Withdrawal  @ WALGREENS STORE 140 0 WALGREENS STORE SACRAMENTO CA US","-27.81","","","16.87"
"3/25/2024","","DEBIT","Withdrawal  @ AUTOZONE 5601 5305 0 AUTOZONE 5601 5 SACRAMENTO CA US","-15.19","","","1.68"
"3/25/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-72.72","","","-71.04"
"3/25/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","128.96"
"3/26/2024","","DEBIT","Withdrawal  @ HARBOR FREIGHT TOOL 0 HARBOR FREIGHT T SACRAMENTO CA US","-4.34","","","124.62"
"3/26/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*RA3Q10 0 AMZN Mktp US*RA3 Amzn.com/billWA US","-9.05","","","115.57"
"3/26/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-5.25","","","110.32"
"3/26/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-12.99","","","97.33"
"3/26/2024","","DEBIT","Withdrawal  @ 809 20TH ST 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","89.62"
"3/28/2024","","DEBIT","Withdrawal  @ CITYOFSAC IPS PKGME 0 CITYOFSAC IPS PK SACRAMENTO CA US","-1.75","","","87.87"
"3/28/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 800.00 from share 0","","800","","887.87"
"3/29/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","880.16"
"3/29/2024","","DEBIT","Withdrawal-ACH-A-1096016 ATT (Payment)","-79.99","","","800.17"
"3/29/2024","","DEBIT","Withdrawal-ACH-A-990166 WEBHomeRiver Group (WEB PMTS)","-755","","","45.17"
"3/29/2024","","DEBIT","Withdrawal  @ TST* THE GOLDEN BEA 0 TST* THE GOLDEN Sacramento CA US","-6.49","","","38.68"
"3/29/2024","","DEBIT","Withdrawal  @ TST* THE GOLDEN BEA 0 TST* THE GOLDEN Sacramento CA US","-9.5","","","29.18"
"3/29/2024","","DEBIT","Withdrawal  @ TST* THE GOLDEN BEA 0 TST* THE GOLDEN Sacramento CA US","-9.5","","","19.68"
"3/29/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-17.65","","","2.03"
"3/29/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 80.00 from share 0","","80","","82.03"
"3/29/2024","","DEBIT","Withdrawal  @ VOCLR.IT 0 VOCLR.IT SALISBURY GB GB","-10.09","","","71.94"
"3/29/2024","","CREDIT","ISA Single-Currency Fee Assessed = 0.10 on 9.99 - Recurring or Installment payment","","0","","0.0"
"3/30/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-7.71","","","64.23"
"3/30/2024","","DEBIT","Withdrawal  @ ATMX031258 2315 J ST CSSI0 EFT Sacramento CA US","-43","","","21.23"
"3/30/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 40.00 from LV 1","","40","","61.23"
"3/30/2024","","DEBIT","Withdrawal  @ BANDCAMP RHYMESA 0 BANDCAMP RHYMESA San Jose CA US","-1.29","","","59.94"
"3/30/2024","","DEBIT","Withdrawal ATM:Fee: ATM FEE DRAFT WITHDRAWAL Trace #141947","-2","","","57.94"
"3/30/2024","","CREDIT","ATM FEE DRAFT WITHDRAWAL Trace #141947 1 @ $2.00","","0","","0.0"
"3/30/2024","","DEBIT","Withdrawal  @ SQ *CAFE XOCOLAT 0 SQ *CAFE XOCOLAT SACRAMENTO CA US","-25.04","","","32.9"
"3/31/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 15.00 from share 0","","15","","47.9"
"3/31/2024","","DEBIT","Withdrawal  @ EMBRACE PET INSURAN 0 EMBRACE PET INSU HELLO@EMBRACEOH US","-17.89","","","30.01"
"3/31/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 50.00 from LV 1","","50","","80.01"
"4/1/2024","","DEBIT","Withdrawal  @ GOOGLE GSUITE bark 0 GOOGLE GSUITE b 650-2530000 CA US","-14.4","","","65.61"
"4/1/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-40.17","","","25.44"
"4/1/2024","","DEBIT","Withdrawal  @ SOUNDCLOUD INC 0 SOUNDCLOUD INC 176-3257837 NY US","-16","","","9.44"
"4/2/2024","","DEBIT","Withdrawal  @ APPLE.COM/BILL 0 APPLE.COM/BILL 866-712-7753 CA US","-2.99","","","6.45"
"4/3/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 85.00 from LV 1","","85","","91.45"
"4/3/2024","","DEBIT","Withdrawal  @ VENMO* Marc 0 VENMO* Marc Visa Direct NY US","-90","","","1.45"
"4/5/2024","","DEBIT","Withdrawal-ACH-A-861479 GEICO (PREM COLL)","-52.24","","","-50.79"
"4/5/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","149.21"
"4/5/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-9.75","","","139.46"
"4/5/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-3.96","","","135.5"
"4/6/2024","","DEBIT","Withdrawal  @ Amazon Prime*CQ5U56 0 Amazon Prime*CQ5 Amzn.com/billWA US","-8.15","","","127.35"
"4/6/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-17.72","","","109.63"
"4/6/2024","","DEBIT","Withdrawal  @ SHELL SERVICE STATI 0 SHELL SERVICE ST SACRAMENTO CA US","-32.89","","","76.74"
"4/6/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","276.74"
"4/6/2024","","DEBIT","Withdrawal  @ EB CYMATICS AMP SUB 0 EB CYMATICS AMP 8014137200 CA US","-29.05","","","247.69"
"4/6/2024","","DEBIT","Withdrawal  @ AZUL MEXICAN FOOD & 0 AZUL MEXICAN FOO SACRAMENTO CA US","-20.92","","","226.77"
"4/7/2024","","DEBIT","Withdrawal  @ BONFARE MARKET #33 0 BONFARE MARKET # SACRAMENTO CA US","-17.38","","","209.39"
"4/7/2024","","DEBIT","Withdrawal  @ PY *OLD SOUL AT THE 0 PY *OLD SOUL AT SACRAMENTO CA US","-11.45","","","197.94"
"4/7/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*MI9ZZ0 0 AMZN Mktp US*MI9 Amzn.com/billWA US","-53.18","","","144.76"
"4/7/2024","","DEBIT","Withdrawal  @ TST* SACTO HOTBOYS 0 TST* SACTO HOTBO Sacramento CA US","-29.19","","","115.57"
"4/7/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*QV1TK6 0 AMZN Mktp US*QV1 Amzn.com/billWA US","-75.02","","","40.55"
"4/7/2024","","DEBIT","Withdrawal  @ PETCO 1343 0 PETCO 1343 SACRAMENTO CA US","-14.13","","","26.42"
"4/7/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-47.11","","","-20.69"
"4/7/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","179.31"
"4/8/2024","","DEBIT","Withdrawal  @ AMAZON PRIME*LL6O03 0 AMAZON PRIME*LL6 888-802-3080 WA US","-5.99","","","173.32"
"4/8/2024","","DEBIT","Withdrawal-ACH-A-983291 WEBADVS ED SERV WEB (STUDNTLOAN)","-302.16","","","-128.84"
"4/8/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","71.16"
"4/8/2024","","DEBIT","Withdrawal  @ EAST PATIO MEXICANO 0 EAST PATIO MEXIC 916-6627099 CA US","-22.65","","","48.51"
"4/8/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE? 0 SQ *TEMPLE COFFE Sacramento CA US","-18.45","","","30.06"
"4/8/2024","","DEBIT","Withdrawal  @ KOMBI HAUS MOTORS I 0 KOMBI HAUS MOTOR SACRAMENTO CA US","-165","","","-134.94"
"4/8/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","65.06"
"4/8/2024","","DEBIT","Withdrawal  @ SACRAMENTO NATURAL 0 SACRAMENTO NATUR SACRAMENTO CA US","-128.79","","","-63.73"
"4/8/2024","","CREDIT","Checking Deposit Overdraft transfer from ****190-S0","","200","","136.27"
"4/9/2024","","DEBIT","Withdrawal  @ PY *OLD SOUL 40 AC 0 PY *OLD SOUL 40 SACRAMENTO CA US","-5.1","","","131.17"
"4/9/2024","","DEBIT","Withdrawal  @ AMZN Mktp US*NE9UC0 0 AMZN Mktp US*NE9 Amzn.com/billWA US","-10.86","","","120.31"
"4/9/2024","","DEBIT","Withdrawal  @ 5810 FOLSOM BLVD 0 CORTI BROTHERS SACRAMENTO CA US","-7.98","","","112.33"
"4/9/2024","","DEBIT","Withdrawal  @ TRADER JOE S #17 TR 0 TRADER JOE S #17 SACRAMENTO CA US","-6.84","","","105.49"
"4/10/2024","","DEBIT","Withdrawal  @ ZZOUNDS.COM 0 ZZOUNDS.COM 800-493-3945 NJ US","-49.75","","","55.74"
"4/10/2024","","DEBIT","Withdrawal  @ SAFEWAY #2242 0 SAFEWAY #2242 SACRAMENTO CA US","-5.99","","","49.75"
"4/11/2024","","DEBIT","Withdrawal  @ AMAZON.COM*2873Z96X 0 AMAZON.COM*2873Z SEATTLE WA US","-18.06","","","31.69"
"4/14/2024","","DEBIT","Withdrawal  @ DALEK ONE* SUBSCR 1 0 DALEK ONE* SUBSC HTTPSDALEKONEMN US","-7","","","24.69"
"4/15/2024","","CREDIT","Checking Deposit  @ G1 Online Transfer 'STD' 65.00 from share 0","","65","","89.69"
"4/15/2024","","DEBIT","Withdrawal  @ VENMO* Marc 0 VENMO* Marc Visa Direct NY US","-85","","","4.69"
"4/16/2024","","CREDIT","Checking Deposit-ACH-1088781 FRANCHISE TAX BD (CASTTAXRFD)","","296","","300.69"
"4/17/2024","","DEBIT","Withdrawal  @ SPLICE.COM* SPLICE 0 SPLICE.COM* SPLI SPLICE.COM NY US","-9.99","","","290.7"
"4/17/2024","","DEBIT","Withdrawal  @ ATMDNS39935 5401 H ST 2 CSSI0 LA GARE SACRAMENTO CA US","-93.5","","","197.2"
"4/17/2024","","DEBIT","Withdrawal ATM:Fee: ATM FEE DRAFT WITHDRAWAL Trace #41800002965","-2","","","195.2"
"4/17/2024","","CREDIT","ATM FEE DRAFT WITHDRAWAL Trace #41800002965 1 @ $2.00","","0","","0.0"
"4/18/2024","","DEBIT","Withdrawal  @ NAEMEH.COM 0 NAEMEH.COM WWW.NAEMEH.COCA US","-60","","","135.2"
"4/18/2024","","DEBIT","Withdrawal  @ DD DOORDASH NSTREET 0 DD DOORDASH NSTR 855-973-1040 CA US","-20.35","","","114.85"
"4/19/2024","","DEBIT","Withdrawal  @ TST* THE FLAMINGO H 0 TST* THE FLAMING SACRAMENTO CA US","-18.94","","","95.91"
"4/19/2024","","DEBIT","Withdrawal  @ SQ *TEMPLE COFFEE 0 SQ *TEMPLE COFFE Sacramento CA US","-12.88","","","83.03"
"4/19/2024","","DEBIT","Withdrawal  @ SPOTIFY 0 SPOTIFY 877-778-1161 NY US","-10.99","","","72.04"
"4/20/2024","","DEBIT","Withdrawal  @ TST* TAQUERIA JALIS 0 TST* TAQUERIA JA Sacramento CA US","-39.39","","","32.65"
"4/20/2024","","DEBIT","Withdrawal  @ TST* TAQUERIA JALIS 0 TST* TAQUERIA JA Sacramento CA US","-7.5","","","25.15"
